psu,finwgt,stratum,Qn1,Qn2,Qn3,ECIGT,ECIGAR,ESLT,EELCIGT,EROLLCIGTS,EFLAVCIGTS,EBIDIS,EFLAVCIGAR,EHOOKAH,EPIPE,ESNUS,EDISSOLV,CCIGT,CCIGAR,CSLT,CELCIGT,CROLLCIGTS,CFLAVCIGTS,CBIDIS,CHOOKAH,CPIPE,CSNUS,CDISSOLV
015438,601.64137145,BR3,9,2,6,1,1,2,1,2,1,2,2,2,2,2,2,1,NA,2,2,2,2,2,2,2,2,2
015438,636.842131027,BR3,8,1,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,636.842131027,BR3,10,1,6,1,1,NA,1,2,2,2,2,1,2,2,2,1,1,NA,1,2,2,2,1,2,2,2
015438,496.338183704,BR3,8,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,496.338183704,BR3,8,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,693.334638548,BR3,9,2,6,2,1,2,2,2,2,2,2,2,2,2,2,2,NA,2,2,2,2,2,2,2,2,2
015438,496.338183704,BR3,9,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,496.338183704,BR3,9,2,6,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,496.338183704,BR3,9,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,496.338183704,BR3,8,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,496.338183704,BR3,8,2,6,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2
015438,636.842131027,BR3,9,1,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,496.338183704,BR3,9,2,6,2,1,2,2,2,2,2,2,2,2,2,2,2,NA,2,2,2,2,2,2,2,2,2
015438,636.842131027,BR3,9,1,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,636.842131027,BR3,8,1,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,496.338183704,BR3,9,2,6,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
015438,496.338183704,BR3,9,2,6,1,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2
015438,275.225984134,BR3,10,1,7,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,397.155173202,BR3,10,1,7,1,2,2,1,2,2,2,2,2,2,2,2,NA,2,2,1,2,2,2,2,2,2,2
015438,397.155173202,BR3,10,1,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,264.874520736,BR3,9,2,7,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,216.726790254,BR3,9,2,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,216.726790254,BR3,10,2,7,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
